alg;inst;score
sa;tho150;0,894548019
sa;tho150;0,905767811
ts;bur26g;0,980393928
ts;bur26g;0,994388254
ts;bur26g;0,983378359
ts;bur26g;0,986017535
ts;bur26g;0,986987075
ts;bur26g;0,96903611
ts;bur26g;0,9644369
ts;bur26g;0,971095085
ts;bur26g;0,988305922
ts;bur26g;0,990214657
ts;kra30a;0,95208099
ts;kra30a;0,926434196
ts;kra30a;0,964341957
ts;kra30a;0,942294713
ts;kra30a;0,967829021
ts;kra30a;0,969628796
ts;kra30a;0,941844769
ts;kra30a;1
ts;kra30a;0,968503937
ts;kra30a;0,934870641
ts;lipa50b;0,769723295
ts;lipa50b;0,760635045
ts;lipa50b;0,773096169
ts;lipa50b;0,765610902
ts;lipa50b;0,766124021
ts;lipa50b;0,764131861
ts;lipa50b;0,768583856
ts;lipa50b;0,767023014
ts;lipa50b;0,766584259
ts;lipa50b;0,765250644
ts;tai64c;0,998086133
ts;tai64c;0,99103198
ts;tai64c;1
ts;tai64c;1
ts;tai64c;0,999074318
ts;tai64c;1
ts;tai64c;0,995281067
ts;tai64c;0,997298387
ts;tai64c;0,995281067
ts;tai64c;0,994576298
ts;tai80a;0,909420097
ts;tai80a;0,92025735
ts;tai80a;0,92188445
ts;tai80a;0,915896044
ts;tai80a;0,918127074
ts;tai80a;0,916795891
ts;tai80a;0,9197912
ts;tai80a;0,926172736
ts;tai80a;0,920497064
ts;tai80a;0,926975813
ts;wil100;0,955405475
ts;wil100;0,960393791
ts;wil100;0,954101627
ts;wil100;0,954548451
ts;wil100;0,963668061
ts;wil100;0,9552077
ts;wil100;0,960877241
ts;wil100;0,957888646
ts;wil100;0,953361803
ts;wil100;0,958796944
ts;sko100c;0,931124968
ts;sko100c;0,921318527
ts;sko100c;0,909672532
ts;sko100c;0,901665066
ts;sko100c;0,917206585
ts;sko100c;0,92658019
ts;sko100c;0,921048004
ts;sko100c;0,918762089
ts;sko100c;0,91997944
ts;sko100c;0,916354439
ts;tho150;0,906695827
ts;tho150;0,920057628
ts;tho150;0,927181513
ts;tho150;0,90524405
ts;tho150;0,927386591
ts;tho150;0,913455538
ts;tho150;0,92908451
ts;tho150;0,90639116
ts;tho150;0,920142709
ts;tho150;0,915283045
random;bur26g;0,894478121
random;bur26g;0,901073541
random;bur26g;0,90679599
random;bur26g;0,866732522
random;bur26g;0,876581914
random;bur26g;0,883777898
random;bur26g;0,913543725
random;bur26g;0,935288636
random;bur26g;0,904583613
random;bur26g;0,890434501
random;kra30a;0,501687289
random;kra30a;0,531946007
random;kra30a;0,486839145
random;kra30a;0,507311586
random;kra30a;0,468503937
random;kra30a;0,539595051
random;kra30a;0,432283465
random;kra30a;0,538920135
random;kra30a;0,448368954
random;kra30a;0,449268841
random;lipa50b;0,715582973
random;lipa50b;0,714398915
random;lipa50b;0,70956931
random;lipa50b;0,723868079
random;lipa50b;0,704833901
random;lipa50b;0,711149157
random;lipa50b;0,71309174
random;lipa50b;0,703544905
random;lipa50b;0,711670539
random;lipa50b;0,718476605
random;tai64c;0,37724416
random;tai64c;0,459813096
random;tai64c;0,306190757
random;tai64c;0,311078878
random;tai64c;0,169659599
random;tai64c;0,546061054
random;tai64c;0,372304314
random;tai64c;0,03788509
random;tai64c;0,561400011
random;tai64c;0,532737261
random;tai80a;0,836978745
random;tai80a;0,842913456
random;tai80a;0,840118915
random;tai80a;0,843556625
random;tai80a;0,841776994
random;tai80a;0,837381169
random;tai80a;0,852079354
random;tai80a;0,856426942
random;tai80a;0,839100613
random;tai80a;0,836354901
random;wil100;0,902042939
random;wil100;0,905258609
random;wil100;0,901610765
random;wil100;0,902753463
random;wil100;0,897560047
random;wil100;0,902284664
random;wil100;0,904028011
random;wil100;0,900966166
random;wil100;0,895223376
random;wil100;0,895574975
random;sko100c;0,805697204
random;sko100c;0,817857191
random;sko100c;0,821766241
random;sko100c;0,821265775
random;sko100c;0,822807753
random;sko100c;0,81279842
random;sko100c;0,821860924
random;sko100c;0,817830139
random;sko100c;0,804642166
random;sko100c;0,826121654
random;tho150;0,7917773
random;tho150;0,798718483
random;tho150;0,794760277
random;tho150;0,798168411
random;tho150;0,801332615
random;tho150;0,789791435
random;tho150;0,780498247
random;tho150;0,797389655
random;tho150;0,796759912
random;tho150;0,79633033
